account_id,company_name,industry,tier,arr,renewal_date,days_to_renewal,health_score,login_drop_rate,support_tickets,resolution_time_hours,payment_failures,nps_score,license_utilization,storage_utilization,feature_usage_score,churn_risk_label,upsell_opportunity_label,last_contact_date
ACC-1000,Company-1000,Technology,Pro,25974,2026-06-16,135,68,0.36,7,17,0,8,0.75,0.35,92,0,0,2025-12-04
ACC-1001,Company-1001,Technology,Pro,28362,2027-01-05,338,76,0.45,1,34,0,10,0.96,0.51,12,0,1,2025-12-07
ACC-1002,Company-1002,Technology,Pro,27422,2026-10-04,245,72,0.28,7,19,0,5,0.49,0.9,34,1,0,2025-12-11
ACC-1003,Company-1003,Healthcare,Enterprise,204353,2027-01-11,344,78,0.41,1,39,0,5,0.22,0.29,64,1,0,2025-12-15
ACC-1004,Company-1004,Healthcare,Enterprise,223583,2026-06-20,139,90,0.0,5,38,0,6,0.23,0.86,10,0,1,2026-01-23
ACC-1005,Company-1005,Technology,Basic,19931,2026-11-30,302,81,0.07,8,10,0,9,0.96,0.8,76,0,1,2025-12-31
ACC-1006,Company-1006,Manufacturing,Enterprise,187591,2026-01-18,-14,83,0.34,0,35,0,4,0.59,0.58,99,0,0,2026-01-17
ACC-1007,Company-1007,Retail,Basic,16311,2026-07-13,162,79,0.42,0,30,0,4,0.87,0.83,32,1,0,2025-12-05
ACC-1008,Company-1008,Technology,Basic,14900,2026-08-30,210,67,0.38,7,16,0,5,0.19,0.84,16,1,0,2025-12-05
ACC-1009,Company-1009,Retail,Basic,13717,2027-01-13,346,64,0.45,7,6,0,10,0.5,0.25,90,1,0,2026-01-07
ACC-1010,Company-1010,Retail,Basic,5178,2026-04-21,79,67,0.38,7,7,0,7,0.8,0.85,82,0,1,2026-01-01
ACC-1011,Company-1011,Manufacturing,Basic,13126,2026-06-01,120,73,0.35,5,19,0,7,0.67,0.82,77,0,1,2025-12-18
ACC-1012,Company-1012,Finance,Enterprise,205347,2026-08-16,196,94,0.09,1,6,0,5,0.39,0.78,50,0,1,2025-12-19
ACC-1013,Company-1013,Technology,Pro,29624,2026-01-12,-20,95,0.1,0,42,0,4,0.23,0.11,59,0,0,2026-01-17
ACC-1014,Company-1014,Retail,Pro,31092,2027-01-27,360,81,0.19,5,42,0,7,0.11,0.34,49,0,0,2026-01-12
ACC-1015,Company-1015,Manufacturing,Enterprise,127718,2026-01-30,-2,83,0.15,5,11,0,8,0.26,0.55,41,0,0,2026-01-24
ACC-1016,Company-1016,Technology,Basic,7895,2026-02-12,11,73,0.43,3,29,0,4,0.95,0.63,28,1,0,2026-01-20
ACC-1017,Company-1017,Technology,Pro,46188,2026-09-14,225,76,0.17,8,17,0,9,0.79,0.73,72,0,0,2025-12-12
ACC-1018,Company-1018,Healthcare,Enterprise,53514,2026-04-11,69,75,0.43,2,5,0,10,0.4,0.62,68,0,0,2026-01-18
ACC-1019,Company-1019,Manufacturing,Pro,27042,2026-03-05,32,71,0.42,4,2,0,4,0.64,0.86,48,1,0,2025-12-07
ACC-1020,Company-1020,Healthcare,Basic,5954,2026-11-05,277,72,0.29,7,40,0,10,0.49,1.0,13,0,1,2025-12-23
ACC-1021,Company-1021,Finance,Pro,21248,2026-02-18,17,79,0.31,3,14,0,7,0.63,0.23,53,0,0,2026-01-24
ACC-1022,Company-1022,Healthcare,Enterprise,94418,2027-01-26,359,68,0.33,8,43,0,5,0.75,0.83,86,1,0,2025-12-12
ACC-1023,Company-1023,Healthcare,Enterprise,69831,2026-04-02,60,89,0.23,0,9,0,4,0.52,0.67,69,0,0,2025-12-29
ACC-1024,Company-1024,Technology,Basic,6178,2026-03-11,38,83,0.02,8,48,0,7,0.42,0.27,100,0,0,2025-12-09
ACC-1025,Company-1025,Retail,Pro,34059,2026-03-04,31,83,0.3,1,4,0,7,0.69,0.98,66,0,1,2026-01-20
ACC-1026,Company-1026,Healthcare,Basic,7368,2026-04-27,85,73,0.46,2,28,0,5,0.34,0.57,55,1,0,2026-01-29
ACC-1027,Company-1027,Manufacturing,Pro,34246,2026-06-27,146,67,0.43,6,5,0,7,0.21,0.35,97,1,0,2025-12-28
ACC-1028,Company-1028,Retail,Enterprise,167346,2026-02-01,0,72,0.44,3,3,0,5,0.38,0.44,83,1,0,2026-01-25
ACC-1029,Company-1029,Healthcare,Enterprise,154194,2026-05-17,105,71,0.26,8,3,0,7,0.42,0.23,39,0,0,2026-01-07
ACC-1030,Company-1030,Finance,Enterprise,190982,2026-05-16,104,79,0.15,7,14,0,6,0.65,0.47,96,0,0,2025-12-11
ACC-1031,Company-1031,Finance,Enterprise,235457,2026-07-20,169,85,0.15,4,5,0,9,0.41,0.43,83,0,0,2025-12-07
ACC-1032,Company-1032,Finance,Enterprise,78676,2026-05-23,111,77,0.26,5,41,0,8,0.72,0.12,57,0,0,2026-01-14
ACC-1033,Company-1033,Retail,Pro,46107,2026-05-26,114,75,0.22,7,35,0,5,0.27,0.35,25,1,0,2026-01-07
ACC-1034,Company-1034,Healthcare,Pro,27025,2026-03-21,48,65,0.43,7,27,0,8,0.44,0.94,44,1,0,2026-01-19
ACC-1035,Company-1035,Finance,Basic,17722,2026-04-23,81,80,0.32,2,14,0,6,0.1,0.99,80,0,1,2026-01-12
ACC-1036,Company-1036,Technology,Pro,22751,2026-11-03,275,74,0.36,4,46,0,8,0.21,0.4,62,0,0,2026-01-06
ACC-1037,Company-1037,Healthcare,Pro,22803,2026-06-25,144,65,0.38,8,42,0,5,0.7,0.38,82,1,0,2026-01-01
ACC-1038,Company-1038,Manufacturing,Basic,14428,2026-04-10,68,80,0.4,0,20,0,10,0.32,0.12,95,0,0,2026-01-02
ACC-1039,Company-1039,Finance,Pro,33893,2026-12-24,326,62,0.04,8,27,1,6,0.59,0.84,26,1,0,2026-01-21
ACC-1040,Company-1040,Finance,Pro,20565,2026-05-07,95,75,0.26,6,18,0,5,0.19,0.31,65,1,0,2026-01-11
ACC-1041,Company-1041,Healthcare,Enterprise,183459,2026-10-13,254,77,0.19,7,40,0,10,0.32,0.95,55,0,1,2025-12-27
ACC-1042,Company-1042,Manufacturing,Pro,43859,2026-07-10,159,86,0.24,1,37,0,9,0.95,0.84,42,0,1,2026-01-19
