iter	Passed	Remaining
0	12	3694
1	22	3399
2	33	3286
3	45	3351
4	57	3391
5	68	3355
6	80	3356
7	90	3311
8	101	3272
9	113	3284
10	124	3259
11	135	3245
12	146	3237
13	157	3214
14	167	3189
15	179	3180
16	189	3161
17	200	3135
18	211	3121
19	220	3093
20	231	3072
21	242	3060
22	251	3033
23	261	3006
24	273	3007
25	283	2987
26	292	2960
27	302	2935
28	312	2917
29	322	2901
30	333	2892
31	343	2876
32	353	2856
33	362	2839
34	373	2830
35	384	2817
36	393	2800
37	405	2792
38	415	2780
39	425	2764
40	435	2749
41	445	2734
42	455	2719
43	465	2709
44	475	2695
45	485	2680
46	494	2663
47	506	2658
48	515	2642
49	525	2625
50	535	2615
51	544	2597
52	554	2585
53	565	2574
54	575	2563
55	584	2547
56	595	2536
57	604	2522
58	613	2507
59	623	2494
60	634	2486
61	644	2473
62	653	2459
63	665	2453
64	675	2441
65	684	2428
66	694	2416
67	705	2405
68	714	2393
69	725	2382
70	735	2373
71	745	2360
72	754	2346
73	765	2336
74	775	2326
75	784	2312
76	795	2302
77	804	2289
78	814	2278
79	824	2266
80	833	2254
81	843	2243
82	854	2234
83	866	2227
84	875	2215
85	885	2202
86	895	2191
87	905	2180
88	914	2167
89	924	2156
90	933	2144
91	943	2132
92	953	2122
93	963	2112
94	973	2101
95	983	2090
96	994	2081
97	1003	2069
98	1013	2057
99	1023	2046
100	1032	2035
101	1042	2023
102	1053	2014
103	1062	2003
104	1072	1992
105	1082	1980
106	1092	1970
107	1102	1960
108	1112	1949
109	1123	1940
110	1132	1928
111	1142	1917
112	1152	1906
113	1161	1895
114	1171	1884
115	1181	1874
116	1193	1866
117	1202	1854
118	1211	1843
119	1222	1833
120	1231	1821
121	1241	1810
122	1252	1802
123	1261	1790
124	1270	1779
125	1280	1768
126	1290	1758
127	1300	1747
128	1310	1736
129	1320	1726
130	1330	1716
131	1339	1704
132	1349	1695
133	1359	1684
134	1369	1673
135	1379	1663
136	1389	1653
137	1398	1642
138	1408	1631
139	1418	1621
140	1429	1612
141	1439	1601
142	1449	1591
143	1459	1581
144	1468	1570
145	1478	1560
146	1488	1549
147	1498	1539
148	1509	1529
149	1519	1519
150	1529	1508
151	1538	1498
152	1549	1488
153	1559	1478
154	1568	1467
155	1579	1458
156	1589	1447
157	1599	1437
158	1609	1427
159	1620	1417
160	1629	1407
161	1639	1396
162	1649	1386
163	1659	1375
164	1668	1365
165	1678	1355
166	1688	1345
167	1698	1334
168	1709	1325
169	1719	1314
170	1728	1304
171	1738	1293
172	1748	1283
173	1758	1273
174	1768	1263
175	1778	1253
176	1787	1242
177	1796	1231
178	1807	1221
179	1818	1212
180	1828	1202
181	1839	1192
182	1848	1181
183	1858	1171
184	1868	1161
185	1877	1151
186	1887	1140
187	1897	1130
188	1908	1120
189	1917	1110
190	1927	1099
191	1937	1089
192	1947	1079
193	1957	1069
194	1967	1059
195	1977	1049
196	1987	1039
197	1997	1028
198	2007	1018
199	2016	1008
200	2025	997
201	2037	988
202	2047	978
203	2057	968
204	2067	958
205	2077	947
206	2087	937
207	2097	927
208	2107	917
209	2117	907
210	2126	896
211	2137	887
212	2147	877
213	2157	866
214	2168	857
215	2177	846
216	2187	836
217	2197	826
218	2207	816
219	2216	806
220	2227	796
221	2236	785
222	2246	775
223	2255	765
224	2266	755
225	2276	745
226	2285	735
227	2296	725
228	2305	714
229	2315	704
230	2324	694
231	2334	684
232	2344	674
233	2354	664
234	2366	654
235	2375	644
236	2385	634
237	2396	624
238	2405	614
239	2415	603
240	2426	593
241	2435	583
242	2445	573
243	2455	563
244	2465	553
245	2476	543
246	2486	533
247	2496	523
248	2505	513
249	2515	503
250	2526	493
251	2535	482
252	2545	472
253	2555	462
254	2565	452
255	2575	442
256	2584	432
257	2594	422
258	2604	412
259	2613	402
260	2624	392
261	2633	381
262	2642	371
263	2652	361
264	2662	351
265	2672	341
266	2682	331
267	2692	321
268	2701	311
269	2711	301
270	2721	291
271	2731	281
272	2740	271
273	2750	261
274	2761	251
275	2770	240
276	2780	230
277	2791	220
278	2801	210
279	2810	200
280	2821	190
281	2830	180
282	2840	170
283	2850	160
284	2860	150
285	2869	140
286	2878	130
287	2890	120
288	2899	110
289	2908	100
290	2920	90
291	2930	80
292	2940	70
293	2952	60
294	2961	50
295	2970	40
296	2980	30
297	2990	20
298	3000	10
299	3010	0
