iter	RMSE
0	16.36638982
1	15.63550475
2	14.95080132
3	14.30803624
4	13.68438327
5	13.08811573
6	12.53339765
7	11.9918283
8	11.4876686
9	11.01609359
10	10.56579545
11	10.14525655
12	9.739439355
13	9.3606927
14	9.000731908
15	8.660294116
16	8.338384218
17	8.036609107
18	7.753103569
19	7.488957923
20	7.243247106
21	7.008115716
22	6.792580223
23	6.594284019
24	6.404425973
25	6.224764244
26	6.055795201
27	5.895054147
28	5.750043042
29	5.614338278
30	5.487979959
31	5.372055727
32	5.265458576
33	5.165203613
34	5.070323536
35	4.979083474
36	4.899058325
37	4.825521626
38	4.759885533
39	4.696316354
40	4.638719064
41	4.589104698
42	4.539021233
43	4.491615429
44	4.450670707
45	4.411065654
46	4.376774126
47	4.345174185
48	4.31669733
49	4.289777268
50	4.265099593
51	4.243264724
52	4.222533529
53	4.203244923
54	4.186889742
55	4.171739409
56	4.157206656
57	4.144687522
58	4.132316029
59	4.120748987
60	4.11025163
61	4.100617819
62	4.093120591
63	4.085032322
64	4.077766479
65	4.070460618
66	4.064866451
67	4.059479331
68	4.05445476
69	4.050619203
70	4.045964432
71	4.042078025
72	4.037870668
73	4.03428917
74	4.031900301
75	4.028906618
76	4.026176426
77	4.024198662
78	4.02167796
79	4.019391851
80	4.017217943
81	4.01519624
82	4.01324544
83	4.011528295
84	4.010310248
85	4.009035707
86	4.00777371
87	4.006459247
88	4.005436563
89	4.004257673
90	4.003159662
91	4.002620011
92	4.001864371
93	4.001063086
94	4.000304451
95	3.99970388
96	3.999137959
97	3.998472054
98	3.997976477
99	3.99743818
100	3.996985612
101	3.996531316
102	3.99608984
103	3.995612228
104	3.995173111
105	3.994484268
106	3.99403524
107	3.993635766
108	3.993142351
109	3.992794097
110	3.992446754
111	3.992035661
112	3.991692825
113	3.991386916
114	3.991119493
115	3.990843399
116	3.990603383
117	3.990324569
118	3.989941786
119	3.989679539
120	3.989463857
121	3.98922842
122	3.989031346
123	3.988691473
124	3.98834157
125	3.988066226
126	3.987833468
127	3.987618538
128	3.98746655
129	3.987223137
130	3.986879504
131	3.986743822
132	3.986491379
133	3.986392441
134	3.986217836
135	3.986075075
136	3.985854632
137	3.98565695
138	3.985463947
139	3.985309945
140	3.985081449
141	3.984862745
142	3.984662163
143	3.984318091
144	3.984096798
145	3.983941133
146	3.983783788
147	3.983603227
148	3.983457295
149	3.983280393
