iter	Passed	Remaining
0	10	1493
1	17	1271
2	26	1315
3	33	1215
4	41	1192
5	47	1148
6	55	1142
7	62	1115
8	70	1103
9	78	1092
10	85	1080
11	93	1071
12	100	1058
13	107	1048
14	115	1037
15	123	1033
16	131	1027
17	139	1023
18	147	1013
19	155	1008
20	162	997
21	170	989
22	177	978
23	184	969
24	191	959
25	199	949
26	206	941
27	213	930
28	221	922
29	227	910
30	235	903
31	242	893
32	249	884
33	256	875
34	263	866
35	271	858
36	278	849
37	285	842
38	292	833
39	299	824
40	305	813
41	312	804
42	319	795
43	325	785
44	332	776
45	339	766
46	345	757
47	352	749
48	359	740
49	366	732
50	373	724
51	380	717
52	388	710
53	395	702
54	401	693
55	408	685
56	415	678
57	422	670
58	429	662
59	436	654
60	443	646
61	449	638
62	455	629
63	462	621
64	469	613
65	475	605
66	482	597
67	488	589
68	496	582
69	502	574
70	509	566
71	516	559
72	523	552
73	530	544
74	536	536
75	543	529
76	550	521
77	557	514
78	564	506
79	570	499
80	577	492
81	584	484
82	591	477
83	597	469
84	604	462
85	611	454
86	617	447
87	624	440
88	631	433
89	639	426
90	646	418
91	653	411
92	659	404
93	666	397
94	673	389
95	680	382
96	687	375
97	693	368
98	700	360
99	707	353
100	713	346
101	720	339
102	727	331
103	733	324
104	740	317
105	746	310
106	753	302
107	760	295
108	767	288
109	774	281
110	781	274
111	787	267
112	794	260
113	801	253
114	807	245
115	814	238
116	820	231
117	827	224
118	834	217
119	840	210
120	847	203
121	854	196
122	861	189
123	868	182
124	874	174
125	881	167
126	888	160
127	894	153
128	901	146
129	908	139
130	916	132
131	923	125
132	929	118
133	936	111
134	944	104
135	950	97
136	957	90
137	964	83
138	970	76
139	977	69
140	984	62
141	991	55
142	997	48
143	1004	41
144	1011	34
145	1017	27
146	1024	20
147	1031	13
148	1038	6
149	1044	0
