iter	Logloss
0	0.5981838601
1	0.5204641968
2	0.4556695695
3	0.4008659104
4	0.3540449142
5	0.3136702342
6	0.2786819454
7	0.2487806134
8	0.221930215
9	0.1983629794
10	0.1775059621
11	0.1595100104
12	0.1431071321
13	0.1285161203
14	0.1154843279
15	0.1038696408
16	0.09349717784
17	0.08419037081
18	0.07584781264
19	0.06839399156
20	0.0616761041
21	0.05567418942
22	0.05027403576
23	0.04539899256
24	0.04101873466
25	0.03706102238
26	0.03349721324
27	0.03039400993
28	0.02749783806
29	0.02486870265
30	0.02251578236
31	0.02039174852
32	0.01845871289
33	0.01672136593
34	0.01513524118
35	0.01371364864
36	0.01244246058
37	0.01128092415
38	0.0102267295
39	0.009288714193
40	0.008443519303
41	0.007661334496
42	0.006957570718
43	0.006319330494
44	0.00574621848
45	0.005237887809
46	0.004759537691
47	0.004344981002
48	0.003955331258
49	0.003604031928
50	0.003286568319
51	0.0030029676
52	0.002739708837
53	0.002515797784
54	0.002296498223
55	0.002111277009
56	0.001947059073
57	0.001783411096
58	0.001640520266
59	0.001505418895
60	0.001381496348
61	0.001271898843
62	0.001169336479
63	0.001089810936
64	0.001008708228
65	0.0009341763535
66	0.0008654753275
67	0.000804514165
68	0.0007459712785
69	0.0006948735822
70	0.0006461739955
71	0.000601603479
72	0.0005684758673
73	0.000531986802
74	0.000504232691
75	0.0004718708262
76	0.0004439128578
77	0.0004175526754
78	0.0003930543771
79	0.0003699472103
80	0.0003491080916
81	0.0003293501489
82	0.0003114967319
83	0.0002951146592
84	0.0002799384439
85	0.0002662951665
86	0.0002532116203
87	0.0002415058473
88	0.0002301716732
89	0.0002197865391
90	0.000210293122
91	0.0002016148698
92	0.0001935735283
93	0.0001863368728
94	0.0001790950627
95	0.0001722537221
96	0.0001661577949
97	0.0001605022103
98	0.0001546274143
99	0.000149148809
100	0.0001444561294
101	0.0001395655675
102	0.0001352262859
103	0.0001309590841
104	0.0001270284155
105	0.0001232597403
106	0.0001195277737
107	0.0001163793725
108	0.0001131829509
109	0.0001098281185
110	0.0001072901714
111	0.0001045576429
112	0.0001017044601
113	9.934189187e-05
114	9.725093716e-05
115	9.460415203e-05
116	9.218883654e-05
117	9.006849413e-05
118	8.838055356e-05
119	8.664973644e-05
120	8.422420606e-05
121	8.225612559e-05
122	8.069402779e-05
123	7.921380722e-05
124	7.780349476e-05
125	7.641131466e-05
126	7.454274648e-05
127	7.275966861e-05
128	7.148623267e-05
129	7.021134463e-05
130	6.928312401e-05
131	6.797806591e-05
132	6.691196253e-05
133	6.578353345e-05
134	6.428040553e-05
135	6.307554152e-05
136	6.202512764e-05
137	6.104332783e-05
138	6.016570064e-05
139	5.937420077e-05
140	5.842366605e-05
141	5.761650509e-05
142	5.670762462e-05
143	5.596438872e-05
144	5.500193281e-05
145	5.408648864e-05
146	5.31072897e-05
147	5.22111556e-05
148	5.148706484e-05
149	5.082099975e-05
