iter	Passed	Remaining
0	4	622
1	8	663
2	12	598
3	15	565
4	18	544
5	21	526
6	25	517
7	28	508
8	32	508
9	38	535
10	41	527
11	44	516
12	47	504
13	50	492
14	53	484
15	56	475
16	59	466
17	62	458
18	65	454
19	69	454
20	72	448
21	76	442
22	79	436
23	82	431
24	85	427
25	88	422
26	91	417
27	94	412
28	99	413
29	102	409
30	105	404
31	108	399
32	111	394
33	114	391
34	118	388
35	121	384
36	124	380
37	127	377
38	132	376
39	135	373
40	139	369
41	142	366
42	145	363
43	149	359
44	152	355
45	155	351
46	159	349
47	163	348
48	167	345
49	170	341
50	173	337
51	176	333
52	180	329
53	183	326
54	186	322
55	189	318
56	193	315
57	197	312
58	200	308
59	203	305
60	206	301
61	209	297
62	212	293
63	215	290
64	219	286
65	222	283
66	226	280
67	229	277
68	233	273
69	236	270
70	239	266
71	242	262
72	245	259
73	249	255
74	252	252
75	255	248
76	259	245
77	262	242
78	265	238
79	268	235
80	271	231
81	275	228
82	278	224
83	281	221
84	284	217
85	288	214
86	291	211
87	294	207
88	297	204
89	300	200
90	303	197
91	306	193
92	310	190
93	313	186
94	316	183
95	320	180
96	324	177
97	327	173
98	330	170
99	334	167
100	337	163
101	340	160
102	343	156
103	346	153
104	349	149
105	353	146
106	356	143
107	359	139
108	362	136
109	365	133
110	369	129
111	372	126
112	375	122
113	378	119
114	381	116
115	385	112
116	388	109
117	391	106
118	395	102
119	398	99
120	401	96
121	404	92
122	407	89
123	410	86
124	414	82
125	417	79
126	420	76
127	423	72
128	427	69
129	430	66
130	433	62
131	436	59
132	439	56
133	442	52
134	445	49
135	448	46
136	451	42
137	454	39
138	458	36
139	461	32
140	464	29
141	467	26
142	470	23
143	473	19
144	476	16
145	479	13
146	482	9
147	486	6
148	489	3
149	492	0
