iter	Passed	Remaining
0	3	544
1	8	622
2	11	584
3	15	553
4	18	534
5	23	572
6	27	569
7	31	559
8	34	548
9	39	546
10	42	536
11	46	532
12	50	528
13	55	534
14	58	529
15	63	529
16	71	562
17	76	559
18	80	556
19	93	607
20	97	601
21	101	593
22	107	591
23	110	581
24	114	570
25	118	563
26	122	556
27	126	549
28	130	544
29	134	537
30	138	530
31	141	522
32	145	516
33	149	510
34	153	505
35	157	499
36	161	492
37	165	486
38	169	482
39	173	475
40	176	469
41	180	464
42	184	460
43	188	454
44	192	448
45	195	441
46	199	436
47	203	431
48	206	425
49	210	420
50	214	415
51	218	411
52	221	406
53	225	400
54	228	394
55	232	389
56	235	384
57	238	378
58	241	373
59	245	368
60	249	363
61	252	358
62	256	353
63	259	348
64	263	344
65	266	339
66	269	334
67	273	329
68	277	326
69	281	321
70	284	316
71	288	312
72	291	307
73	295	303
74	298	298
75	301	293
76	304	288
77	309	285
78	312	281
79	316	276
80	319	272
81	323	268
82	326	263
83	330	259
84	333	255
85	337	250
86	341	247
87	345	243
88	348	238
89	351	234
90	354	230
91	358	225
92	361	221
93	364	217
94	368	213
95	372	209
96	375	205
97	379	201
98	382	197
99	386	193
100	390	189
101	394	185
102	398	181
103	401	177
104	406	174
105	409	170
106	413	166
107	416	161
108	420	158
109	423	153
110	426	149
111	430	145
112	433	141
113	437	138
114	441	134
115	444	130
116	448	126
117	451	122
118	455	118
119	458	114
120	462	110
121	465	106
122	469	103
123	473	99
124	476	95
125	480	91
126	484	87
127	487	83
128	490	79
129	493	75
130	496	72
131	501	68
132	505	64
133	508	60
134	512	56
135	516	53
136	519	49
137	523	45
138	526	41
139	530	37
140	534	34
141	538	30
142	542	26
143	546	22
144	550	18
145	554	15
146	557	11
147	563	7
148	567	3
149	571	0
